price(R$),condo(R$),district,address,area(m²),bedroom,bathrooms,parkings,url(image),url(apt)
510000.0,478.0,Palmares,,90.0,3,3,2,https://imgbr.imovelwebcdn.com/avisos/2/29/70/37/00/84/360x266/3503695728.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-em-palmares-2970370084.html
730000.0,300.0,Castelo,Rua Rua Governador Mario Covas,200.0,4,2,2,https://imgbr.imovelwebcdn.com/avisos/2/29/57/03/16/74/360x266/2281206760.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-castelo-belo-horizonte-2957031674.html
600000.0,,Nova Suíssa,Rua veneza 31,95.0,3,2,1,https://imgbr.imovelwebcdn.com/avisos/2/29/75/44/23/65/360x266/3663143739.jpg,https://www.imovelweb.com.br/propriedades/apartamento-bairro-nova-suica-belo-horizonte-mg-2975442365.html
470000.0,,Santa Mônica,Geralda Cirino Flor de Maio,85.0,2,2,2,https://imgbr.imovelwebcdn.com/avisos/2/29/76/94/47/21/360x266/3711694855.jpg,https://www.imovelweb.com.br/propriedades/area-privativa-com-2-quartos-a-venda-85-m-sup2-2976944721.html
949800.0,600.0,Santo Agostinho,Rua Juiz de Fora,60.0,2,1,2,https://imgbr.imovelwebcdn.com/avisos/2/29/76/53/47/95/360x266/3693565182.jpg,https://www.imovelweb.com.br/propriedades/apartamento-alto-padrao-02-quartos-02-suites-02-2976534795.html
2748000.0,,Santo Antônio,Rua Paulo Afonso,271.0,4,4,3,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/35/97/360x266/3605513816.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-santo-antonio-4-quartos-271-2973413597.html
807041.0,762.0,Lourdes,Rua Alvarenga Peixoto 594,46.0,1,1,1,https://imgbr.imovelwebcdn.com/avisos/2/29/76/08/10/38/360x266/3680985591.jpg,https://www.imovelweb.com.br/propriedades/apartamento-flat-a-venda-no-lourdes-com-lazer-completo-2976081038.html
389000.0,,Santa Mônica,Rua dos Bororós,60.0,3,1,2,https://imgbr.imovelwebcdn.com/avisos/2/29/74/62/30/19/360x266/3640266894.jpg,https://www.imovelweb.com.br/propriedades/apartamento-com-area-privativa-a-venda-3-quartos-2-2974623019.html
720000.0,445.0,Sagrada Família,Rua Cônego Floriano 115,210.0,4,4,2,https://imgbr.imovelwebcdn.com/avisos/2/29/66/74/36/64/360x266/2714847020.jpg,https://www.imovelweb.com.br/propriedades/cobertura-a-venda-4-quartos-1-suite-2-vagas-2966743664.html
756000.0,390.0,Esplanada,Rua Madressilva,152.0,3,2,3,https://imgbr.imovelwebcdn.com/avisos/2/29/71/14/32/40/360x266/3537125986.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-na-vila-esplanada-2971143240.html
850000.0,350.0,João Pinheiro,Rua Mariano Procópio 1357,150.0,3,3,3,https://imgbr.imovelwebcdn.com/avisos/2/29/71/67/55/84/360x266/3578286508.jpg,https://www.imovelweb.com.br/propriedades/cobertura-em-belo-horizonte-2971675584.html
2450000.0,1800.0,Gutierrez,Rua Américo Macedo,268.0,4,3,4,https://imgbr.imovelwebcdn.com/avisos/2/29/77/26/80/72/360x266/3712003521.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-4-quartos-4-suites-4-vagas-2977268072.html
430000.0,407.0,Sagrada Família,Rua Itajubá,80.0,3,2,2,https://imgbr.imovelwebcdn.com/avisos/2/29/77/30/98/82/360x266/3713516715.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-sagrada-familia-3-quartos-80-2977309882.html
445493.0,,Trevo,Rua José Silva Passos,77.0,3,2,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/41/11/92/360x266/3605463917.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-trevo-3-quartos-77-m-sup2--2973411192.html
990000.0,800.0,Sagrada Família,Rua Costa Monteiro 418,345.0,3,4,2,https://imgbr.imovelwebcdn.com/avisos/2/29/66/74/35/71/360x266/2714844242.jpg,https://www.imovelweb.com.br/propriedades/cobertura-a-venda-3-quartos-2-suites-2-vagas-2966743571.html
330000.0,690.0,Venda Nova,Avenida Vilarinho,87.0,3,1,1,https://imgbr.imovelwebcdn.com/avisos/2/29/74/21/08/25/360x266/3627997146.jpg,https://www.imovelweb.com.br/propriedades/area-privativa-a-venda-3-quartos-1-suite-1-vaga-2974210825.html
430000.0,380.0,Sagrada Família,Rua General Carneiro 20,124.0,3,2,2,https://imgbr.imovelwebcdn.com/avisos/2/29/66/71/91/27/360x266/2767901056.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-3-quartos-1-suite-2-vagas-2966719127.html
2980000.0,2345.0,Funcionários,Rua Ceará 1350,158.0,4,4,4,https://imgbr.imovelwebcdn.com/avisos/2/29/76/46/85/73/360x266/3691715252.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-com-4-quartos-no-funcionarios-2976468573.html
300000.0,210.0,Nova Floresta,Rua Engenheiro Correia,64.0,2,1,1,https://imgbr.imovelwebcdn.com/avisos/2/29/33/94/33/82/360x266/2281449976.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-nova-floresta-belo-horizonte-2933943382.html
3020000.0,,Gutierrez,Rua General Dionísio Cerqueira,186.0,4,4,4,https://imgbr.imovelwebcdn.com/avisos/2/29/73/63/11/45/360x266/3611759136.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-gutierrez-4-quartos-186-2973631145.html
480000.0,,Santa Branca,Norte,75.0,3,2,2,https://imgbr.imovelwebcdn.com/avisos/2/29/75/97/73/90/360x266/3678008779.jpg,https://www.imovelweb.com.br/propriedades/apartamento-com-3-quartos-a-venda-75-m-sup2-2975977390.html
1390000.0,1500.0,São Pedro,Rua Raul Pompéia,143.0,4,3,3,https://imgbr.imovelwebcdn.com/avisos/2/29/57/89/81/86/360x266/3473239202.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-4-quartos-1-suite-3-vagas-sao-2957898186.html
430000.0,300.0,Gutierrez,R. Herculano de Freitas,117.0,4,1,1,https://imgbr.imovelwebcdn.com/avisos/2/29/74/45/74/41/360x266/3700090336.jpg,https://www.imovelweb.com.br/propriedades/apartamento-04-quartos-01-vaga-gutierrez-belo-2974457441.html
260000.0,130.0,Santa Cruz,,67.0,3,2,1,https://imgbr.imovelwebcdn.com/avisos/2/29/66/03/03/79/360x266/2679922248.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-em-santa-cruz-2966030379.html
319500.0,300.0,Sagrada Família,Rua São Roque,80.0,3,1,1,https://imgbr.imovelwebcdn.com/avisos/2/29/73/40/90/05/360x266/3605438191.jpg,https://www.imovelweb.com.br/propriedades/apartamento-a-venda-sagrada-familia-3-quartos-80-2973409005.html
